Construction,256,Construct a sundeck (rear yard),2015-05-01T14:44:44,Single,Old Ottawa,6000,***CONTRACTOR***,K1V8J6,2652  ,0,749,179,1502092,Ward 16,24,ULSTER CRES 
Construction,107,Exterior alterations to an existing 2 storey mixed use building (John's Quick Lunch),2015-05-01T14:58:52,Mixed,Old Ottawa,5000,***CONTRACTOR***,K1Y3C2,1365  ,0,M-52,865,1502093,Ward 15,25,WELLINGTON ST W
Construction,1000,Construct a secondary dwelling unit in a 1 storey detached dwelling (basement),2015-05-01T15:37:51,Single,Nepean,45000,***CONTRACTOR***,K2G3C7,6  ,1,401392,531,1502094,Ward 8,26,LARGO CRES 
Pool Enclosure,0,Install an enclosure for an above ground pool (rear yard),2015-05-01T15:45:37,Single,Kanata,0,POOLARAMA,K2K1P4,10  ,0,840,638,1502095,Ward 4,27,BANTING CRES 
Construction,441,Alterations to convert garage to living space in a 2 storey detached dwelling,2015-05-01T15:49:41,Single,Nepean,65550,CONTRACTOR UNKNOWN,K2R1A4,7  ,0,4M-284,83,1502096,Ward 3,28,ALSIKE GROVE 
Pool Enclosure,0,Install an enclosure for an above ground pool (rear yard),2015-05-01T15:59:10,Single,Kanata,0,CAMPBELL POOLS (YOUVILLE),K2M2V7,21  ,0,4M-1037,11,1502097,Ward 23,29,THUNDERBIRD CRES 
Construction,1060,Finish the basement in a 2 storey detached dwelling,2015-05-01T16:04:17,Single,Kanata,39389,CONTRACTOR UNKNOWN,"",22  ,0,786,179,1502098,Ward 4,30,TIFFANY CRES 
Construction,11488,Construct a triplex,2015-05-01T16:08:45,Apartment,Old Ottawa,1256731,***CONTRACTOR***,K1K1N3,69  ,3,399,13,1502099,Ward 13,31,DONALD ST 
Construction,10010,Construct a 3 storey triplex,2015-05-01T16:09:33,Apartment,Old Ottawa,1077966,CONTRACTOR UNKNOWN,K1K1L2,44  ,3,399,6,1502100,Ward 13,32,ONTARIO ST 
Demolition,-2400,Demolish a 2 storey triplex,2015-05-01T16:09:58,Demolition,Old Ottawa,20000,***CONTRACTOR***,K1K1N3,69  ,-3,399,13,1502101,Ward 13,33,DONALD ST 
Demolition,-2200,Demolish a 1 1/2 storey triplex,2015-05-01T16:13:27,Demolition,Old Ottawa,20000,BUILT BY BELLAGIO INC,K1K1L2,44  ,-3,399,6,1502102,Ward 13,34,ONTARIO ST 
Demolition,-2411,Demolish a detached garage (rear yard),2015-05-01T16:16:30,Demolition,Old Ottawa,3000,CONTRACTOR UNKNOWN,K1S4H7,468  ,0,45,3,1502103,Ward 17,35,CAMBRIDGE ST S
Construction,104,Construct a porch (front yard),2015-05-01T16:21:24,Single,Old Ottawa,4000,CONTRACTOR UNKNOWN,K1S0P8,146  ,0,4M-283252,148,1502104,Ward 17,36,SOUTHERN DR 
Pool Enclosure,0,Install an enclosure for an inground pool (rear yard),2015-05-01T16:31:26,Single,Osgoode,0,LEISURE TIME POOLS,K4P1R8,7447  ,0,4M-1216,16,1502105,Ward 20,37,DAWN TARA DR 
Construction,114,Remove and replace front porch on a 2 storey detached dwelling,2015-05-01T16:34:39,Single,Old Ottawa,10000,***CONTRACTOR***,K1Y1K3,20  ,0,88291,94 & 95,1502106,Ward 15,38,PINEHURST AVE 
Construction,20,Interior alterations on the 1st floor of a 2 storey semi-detached dwelling,2015-05-01T16:44:44,Semi - Detached,Old Ottawa,8000,CONTRACTOR UNKNOWN,K1S4G7,848  ,0,217882,60 61,1502107,Ward 17,39,BRONSON AVE 
Construction,510,Interior alterations to a 1 storey detached dwelling (convert existing garage to living space),2015-05-04T08:36:05,Single,West Carleton,30000,D. WOOD CONSTRUCTION,"",226  ,0,"",pt lot 27,1502108,Ward 5,40,HERRICK DR 
Construction,2088,"Interior alterations to a 2 storey retail building (St. Laurent Shopping Centre,  Zumiez, Unit# 239)",2015-05-04T09:00:12,Retail,Old Ottawa,150000,CONTRACTOR UNKNOWN,K1K3B8,1200  ,0,747,"",1502109,Ward 13,41,ST. LAURENT BLVD 
Construction,873,Construct a 1 storey addition (rear yard) with interior alterations to convert a duplex back into a 3 storey detached dwelling.,2015-05-04T09:09:50,Single,Old Ottawa,90173,CONTRACTOR UNKNOWN,K1S0T2,36  ,0,96962,30,1502110,Ward 17,42,BRIGHTON AVE 
Construction,800,Finish the basement in a 2 storey detached dwelling,2015-05-04T09:30:09,Single,Old Ottawa,29728,EVOLUTIONARY CONTRACTING INC.,K1V0B8,6  ,0,M247,54,1502111,Ward 16,43,COBBLER CRT 
Construction,1500,Interior alterations to a 2 storey detached dwelling,2015-05-04T11:03:12,Single,Nepean,212000,BELFOR PROPERTY RESTORATION,K2G6H9,3  ,0,4M-905,77,1502112,Ward 22,44,STONEPOINTE AVE 
Construction,2503,Construct a 2 storey detached dwelling,2015-05-04T11:08:17,Single,Old Ottawa,372045,CONTRACTOR UNKNOWN,K1Z8L7,209  ,1,408,203,1502113,Ward 15,45,IONA ST 
Demolition,-1080,Demolish a 1 storey detached dwelling,2015-05-04T11:09:09,Demolition,Old Ottawa,10000,CONTRACTOR UNKNOWN,K1Z8L7,209  ,-1,408,203,1502114,Ward 15,46,IONA ST 
Pool Enclosure,0,Install an enclosure for an inground pool (rear yard),2015-05-04T11:11:00,Single,Goulbourn,0,POOL BUILDERS OTTAWA,K2S0R2,701  ,0,4M-1372,"",1502115,Ward 6,47,WRANGLER CIR 
